name,district,river,owner,latitude,longitude,reservoir_name,dam_type,capacity_mcm,frl_m,live_feed_key
Neyyar Dam,Thiruvananthapuram,,,,,,,,,
Peppara Dam,Thiruvananthapuram,,,,,,,,,
Aruvikkara Dam,Thiruvananthapuram,,,,,,,,,
Thenmala Dam,Kollam,,,,,,,,,
Pamba Dam,Pathanamthitta,,KSEB,9.3906,77.1598,,,2.21,986.33,Pamba
Kakki Dam,Pathanamthitta,,,,,,,,,
Maniyar Dam,Pathanamthitta,,,,,,,,,
Moozhiyar Dam,Pathanamthitta,Kakkattar,KSEB,9.308,77.0656,Moozhiyar Reservoir,Gravity,0.31,192.63,Moozhiyar
Perunthenaruvi Weir,Pathanamthitta,,,,,,,,,
Karikkayam Dam,Pathanamthitta,,,,,,,,,
Allunkal Dam,Pathanamthitta,,,,,,,,,
Kochu Pamba Weir,Pathanamthitta,,,,,,,,,
Anathode Dam,Pathanamthitta,,KSEB,9.341667,77.15,,,118.42,981.46,Anathode
Veluthodu Dam,Pathanamthitta,,,,,,,,,
Idukki Dam,Idukki,Periyar,KSEB,9.8436,76.9762,Idukki Reservoir,Arch,385.20,732.43,Idukki
Cheruthoni Dam,Idukki,Periyar,KSEB,,,,,,,
Kulamavu Dam,Idukki,Periyar,KSEB,,,,,,,
Ponmudi Dam,Idukki,,KSEB,9.9604,77.0565,,,19.18,707.75,Ponmudi
Anayirankal Dam,Idukki,,KSEB,10.009515,77.207243,,,10.54,1207.02,Anayirankal
Kundala Dam,Idukki,,KSEB,10.143588,77.198683,,,1.57,1758.69,Kundala
Mattupetty Dam,Idukki,Muthirapuzha,KSEB,10.1063,77.1238,,,2.84,1599.59,Mattupetty
Sengulam Dam,Idukki,,KSEB,10.010833,77.0325,,,0.14,847.64,Chenkulam
Kallarkutty Dam,Idukki,,KSEB,9.98,77.001389,,,5.05,456.59,Kallarkutty
Lower Periyar Dam,Idukki,Periyar,KSEB,9.962,76.9568,,,3.29,253,Pambla
Erattayar Dam,Idukki,,KSEB,9.8103,77.106,,,0.71,754.38,Erattayar
Pambla Dam,Idukki,,KSEB,,,,,,,
Munnar Headworks Dam,Idukki,,,,,,,,,
Malankara Dam,Idukki,,,,,,,,,
Mullaperiyar Dam,Idukki,Periyar,Tamil Nadu PWD,,,Periyar Lake,Masonry Gravity,,,
Periyar Lake,Idukki,Periyar,Tamil Nadu PWD,,,,,,,
Kallar Division Dam,Idukki,,,,,,,,,
Gavi Dam,Idukki,,,,,,,,,
Kallar Dam,Idukki,,KSEB,9.8255,77.1562,,,0.19,824.48,Kallar
Meenar 1,Idukki,,,,,,,,,
Meenar 2,Idukki,,,,,,,,,
Idamalayar Dam,Ernakulam,Idamalayar,KSEB,10.221868,76.706037,,,322.10,169.00,Idamalayar
Bhoothathankettu Dam,Ernakulam,Periyar,,,,,,,,
Neriamangalam Dam,Ernakulam,Periyar,,,,,,,,
Peechi Dam,Thrissur,Manali,,,,,,,,
Vazhani Dam,Thrissur,,,,,,,,,
Chimmony Dam,Thrissur,,,,,,,,,
Peringalkuthu Dam,Thrissur,Chalakudy,,,,,,,,
Sholayar Dam,Thrissur,Sholayar,KSEB,10.3178,76.7342,,,27.16,811.68,Sholayar
Asurankund Dam,Thrissur,,,,,,,,,
Malampuzha Dam,Palakkad,Malampuzha,,,,,Earthen,,,
Mangalam Dam,Palakkad,,,,,,,,,
Meenkara Dam,Palakkad,,,,,,,,,
Chulliyar Dam,Palakkad,,,,,,,,,
Pothundi Dam,Palakkad,,,,,,,,,
Walayar Dam,Palakkad,,,,,,,,,
Siruvani Dam,Palakkad,Siruvani,,,,,,,,
Kanjirapuzha Dam,Palakkad,Kanjirapuzha,,,,,,,,
Kanjirapuzha Baby Dam,Palakkad,,,,,,,,,
Parambikulam Dam,Palakkad,Parambikulam,,,,,,,,
Thunakkadavu Dam,Palakkad,,,,,,,,,
Peruvaripallam Dam,Palakkad,,,,,,,,,
Moolathara Dam,Palakkad,,,,,,,,,
Gayathri Dam,Palakkad,,,,,,,,,
Moolathara Barrage,Palakkad,,,,,,,,,
Lakkidi Dam,Palakkad,,,,,,,,,
Cheramangalam Dam,Palakkad,,,,,,,,,
Tharampilli Dam,Palakkad,,,,,,,,,
Banasura Sagar Dam,Wayanad,Karamanathodu,KSEB,11.6709,75.9504,,Rockfill/Earthen,36.35,775.60,Banasura Sagar
Karapuzha Dam,Wayanad,Karapuzha,,,,,,,,
Kuttiyadi Dam,Kozhikode,Kuttiyadi,KSEB,,,,,,,
Kakkayam Dam,Kozhikode,Kuttiyadi,KSEB,11.551,75.925,,,16.26,758.04,Kakkayam
Peruvannamuzhi Dam,Kozhikode,,,,,,,,,
Chembukadavu Dam,Kozhikode,,,,,,,,,
Pazhassi Dam,Kannur,Valapattanam,,,,,,,,
