No,District,NRSC,GSI,New,Type_of_sl,Length,Width,Area,Building_I,Road_impac,Impact_Agr,LU_2010,LU_2018,Specific_r,Remarks,longitude,latitude,Reclass_Sl,RASTERVALU
1,Ernakulam,Y,Y,N,DF,98,26,2548.00000000000,0,N,FMP,FMP,FMP,,"Two quarters belonging to Kerala Plantation Corporation are at very close vicinity of the slide flow path, are at risk, Built up increased",76.48493900000,10.28600100000,5,26.04970169070
2,Ernakulam,Y,N,N,DF,0,0,647.43200000000,0,N,N,BRF,BRF,,,76.79917400000,10.07499800000,8,43.72699356080
3,Ernakulam,Y,N,N,DF,0,0,3000.00000000000,0,N,N,BRF,BRF,,,76.84589500000,10.09343100000,7,35.94050979610
4,Ernakulam,Y,N,N,DF,0,0,2962.66000000000,0,N,N,BRF,BRF,,,76.84840200000,10.27099400000,5,28.75805091860
5,Ernakulam,Y,N,N,DF,0,0,5123.88000000000,0,N,N,BRF,BRF,,,76.89504200000,10.25260600000,8,41.06077194210
6,Ernakulam,Y,N,N,DF,0,0,1425.47000000000,0,N,N,BRF,BRF,,,76.89541900000,10.25208000000,7,35.47848510740
7,Ernakulam,Y,N,N,DF,0,0,898.02400000000,0,N,N,BRS,BRS,,,76.75286400000,10.27260000000,8,41.68753814700
8,Ernakulam,Y,N,N,DF,0,0,2447.78000000000,0,N,N,BRS,BRS,,,76.75358200000,10.27067500000,5,28.92477989200
10,Ernakulam,Y,N,N,DF,0,0,42439.90000000000,0,N,N,BRS,BRS,,Tea nearby,76.86095500000,10.27240700000,8,40.23725128170
11,Ernakulam,Y,N,N,DF,0,0,1196.41000000000,0,N,N,BRS,BRS,,Tea nearby,76.86540900000,10.26901300000,5,28.84431457520
12,Ernakulam,N,Y,N,DF,0,0,0.00000000000,1,N,N,BUI,BUI,,1 cattle shed fully damaged during the slide and i cow got dead due to the incidence (as per information from the local residents),76.81731000000,10.02836000000,2,13.99843406680
13,Ernakulam,Y,Y,N,DF,0,0,3170.33000000000,2,N,N,BUI,BUI,,"Debris material deposited in the back side of the houses along with water, during the event and cracks developed in the walls of the houses (as per information from the local residents)",76.80325200000,10.03203700000,4,23.81869506840
14,Ernakulam,N,Y,N,DF,0,0,0.00000000000,0,C,N,BUI,BUI,,"Slided material blocked the road for few hours during the slide, NH-49 at risk due to this slide",76.76389000000,10.05445000000,5,25.56449890140
15,Ernakulam,N,Y,N,DF,0,0,0.00000000000,1,N,N,BUI,BUI,,"unstable slope downslope of the house, ground cracks developed",76.75846000000,10.06026000000,3,15.26147937770
16,Ernakulam,N,Y,N,DF,0,0,0.00000000000,1,N,N,BUI,BUI,,The slide zone has numerous ground cracks and is in highly unstable condition. A detailed site specific study is recommended,76.57484000000,9.99272000000,3,17.50498580930
17,Ernakulam,N,Y,N,DF,0,0,0.00000000000,0,N,N,BUI,BUI,,"Highly jointed  rock is exposed in the slide course, widening of stream channel after the event, unstable boulders are present along the nala course, Built up increased",76.54872000000,10.04355000000,2,14.32916355130
